epoch,accuracy,loss,val_accuracy,val_loss
0,0.5874108076095581,1.1035447120666504,0.6588927507400513,0.9270340204238892
1,0.7196585536003113,0.7700031995773315,0.7323948740959167,0.7248937487602234
2,0.7712234854698181,0.6304678916931152,0.7700038552284241,0.6378946304321289
3,0.8012781739234924,0.5505325794219971,0.7877928614616394,0.6073791980743408
4,0.821807861328125,0.49552419781684875,0.804076075553894,0.5640580058097839
5,0.836200475692749,0.4534706771373749,0.815596878528595,0.530823290348053
6,0.8487108945846558,0.42052915692329407,0.8304443955421448,0.5036024451255798
7,0.858971357345581,0.3920234739780426,0.8269075751304626,0.5127907395362854
8,0.8666403889656067,0.3691970109939575,0.8345764875411987,0.49259597063064575
9,0.8749836087226868,0.3493625223636627,0.8457120656967163,0.48294514417648315
10,0.8804202079772949,0.3328418433666229,0.843751072883606,0.48388490080833435
11,0.8855942487716675,0.31772860884666443,0.8500192761421204,0.4637094736099243
12,0.891416072845459,0.3024846017360687,0.8504044413566589,0.48626625537872314
13,0.8952768445014954,0.2925458252429962,0.8535210490226746,0.4808511435985565
14,0.8985686302185059,0.2814827263355255,0.863676130771637,0.459133118391037
15,0.9027533531188965,0.270785927772522,0.8708547949790955,0.44064775109291077
16,0.9045917987823486,0.2642120122909546,0.8642364144325256,0.45252248644828796
17,0.9064915776252747,0.25686898827552795,0.872115433216095,0.43964430689811707
18,0.9107025861740112,0.2451464980840683,0.8665826320648193,0.48085251450538635
19,0.9119982719421387,0.2427656501531601,0.8752319812774658,0.4448879063129425
20,0.9157364964485168,0.23263713717460632,0.8735161423683167,0.46717509627342224
21,0.9164806008338928,0.23038437962532043,0.8723605275154114,0.4776362180709839
22,0.9206390976905823,0.220473974943161,0.8767377734184265,0.4539814293384552
23,0.9218384623527527,0.21593356132507324,0.8749868869781494,0.47752049565315247
24,0.9248413443565369,0.20718136429786682,0.8873481154441833,0.44492876529693604
