epoch,accuracy,loss,val_accuracy,val_loss
0,0.35095489025115967,1.3381625413894653,0.4121037423610687,1.2797430753707886
1,0.6277331709861755,1.0186837911605835,0.6599423885345459,0.9316952228546143
2,0.7896484732627869,0.5998439788818359,0.6945244669914246,0.7622906565666199
3,0.8499861359596252,0.4183894097805023,0.6974063515663147,0.7826917767524719
4,0.8804317712783813,0.3278881907463074,0.6945244669914246,0.8237681984901428
5,0.9050650596618652,0.2691829204559326,0.6974063515663147,0.8438724279403687
6,0.9269305467605591,0.22175467014312744,0.680115282535553,0.9340953826904297
7,0.9421533346176147,0.18230263888835907,0.6685879230499268,0.9841014742851257
8,0.949903130531311,0.15994617342948914,0.6628242135047913,1.0674538612365723
9,0.9562690258026123,0.13929152488708496,0.6829971075057983,1.111830234527588
10,0.9631884694099426,0.12046384811401367,0.6657060384750366,1.1664214134216309
11,0.9690008163452148,0.10620719939470291,0.6685879230499268,1.1764414310455322
12,0.9695543646812439,0.1018834114074707,0.6599423885345459,1.2599495649337769
13,0.9706615209579468,0.09227260947227478,0.6714697480201721,1.3535672426223755
14,0.971491813659668,0.08900484442710876,0.6714697480201721,1.32719087600708
15,0.9745364189147949,0.08310076594352722,0.6772334575653076,1.326655626296997
16,0.9753667116165161,0.08511516451835632,0.6772334575653076,1.4253299236297607
17,0.973429262638092,0.08160680532455444,0.6858789920806885,1.371232032775879
18,0.9767506122589111,0.07235163450241089,0.6657060384750366,1.4651541709899902
19,0.975643515586853,0.07265675067901611,0.6772334575653076,1.4655221700668335
20,0.9778577089309692,0.06661102175712585,0.6685879230499268,1.5109615325927734
21,0.975643515586853,0.06821376085281372,0.6714697480201721,1.5033292770385742
22,0.9767506122589111,0.06717495620250702,0.680115282535553,1.5336308479309082
23,0.977027416229248,0.06470183283090591,0.6657060384750366,1.5666968822479248
24,0.9797951579093933,0.05883321911096573,0.6628242135047913,1.6254128217697144
